,0-25 BPS,25-50 BPS,50-75 BPS,75-100 BPS,100-125 BPS,125-150 BPS,150-175 BPS,175-200 BPS
2021-11-02,0.9892778669084846,0.010722133091515373,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-14,1.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-25,0.9751757812499999,0.024824218750000016,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,0.9612405395508077,0.03875946044919232,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-03,0.8671455601283456,0.13285443987165435,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-14,0.5714024135044643,0.4285975864955357,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-26,0.761523907001202,0.23847609299879802,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-20,0.0,0.219970703125,0.780029296875,0.0,0.0,0.0,0.0,0.0
2022-11-01,0.0,0.6689667800376942,0.33103321996230584,0.0,0.0,0.0,0.0,0.0
2022-12-13,0.0,0.0,0.5230478140024033,0.4769521859975967,0.0,0.0,0.0,0.0
