,Date,Original,Corpus,Class
0,2010-08-10,charles struckmeyer deputy staff director office staff director management board governors,charles struckmeyer deputy staff director office staff director management board governor,0
1,2010-08-10,manager noted staff developing plans additional small value tests term deposit facility,manager note staff develop plan additional small value test term deposit facility,0
2,2010-08-10,manager also noted staff projection that mortgage rates remain near levels time meeting repayments principal agency mbs held soma likely would reduce face value holdings roughly  billion august  end ,manager also note staff projection that mortgage rate remain near level time meeting repayment principal agency mb held soma likely would reduce face value holding roughly billion august end,0
3,2010-08-10,staff review economic situation information reviewed august  meeting indicated pace economic recovery slowed recent months inflation remained subdued,staff review economic situation information review august meeting indicate pace economic recovery slow recent month inflation remain subdue,0
4,2010-08-10,addition revised data   bureau economic analysis showed recent recession deeper previously thought and result level real gross domestic product gdp end  noticeably lower estimated earlier,addition revise data bureau economic analysis show recent recession deeper previously thought and result level real gross domestic product gdp end noticeably low estimate earlier,0
5,2010-08-10,private employment increased slowly june july industrial production little changed june large increase may,private employment increase slowly june july industrial production little change june large increase may,0
6,2010-08-10,consumer spending continued rise modest rate june business outlays equipment software moved further,consumer spending continued rise modest rate june business outlay equipment software move far,0
7,2010-08-10,decline energy prices unchanged prices core goods services led fall headline consumer prices june,decline energy price unchanged price core good service lead fall headline consumer price june,0
8,2010-08-10,private nonfarm employment expanded slowly recent months,private nonfarm employment expand slowly recent month,0
9,2010-08-10,average monthly gain private payroll employment three months ending july small considerably less average increase preceding three months,average monthly gain private payroll employment three month end july small considerably less average increase precede three month,0
10,2010-08-10,however average weekly hours employees continued recover,however average weekly hour employee continued recover,0
11,2010-08-10,net addition jobs manufacturing related industries nonbusiness services health education continued contribute importantly net increase private employment,net addition job manufacturing related industry nonbusiness service health education continued contribute importantly net increase private employment,0
12,2010-08-10,employment construction financial activities fell further,employment construction financial activity fell far,0
13,2010-08-10,unemployment rate moved june level earlier year unchanged july declining civilian employment accompanied decreases labor force participation,unemployment rate move june level earlier year unchanged july decline civilian employment accompany decrease labor force participation,0
14,2010-08-10,initial claims unemployment insurance remained elevated level intermeeting period,initial claim unemployment insurance remain elevate level intermeeting period,0
15,2010-08-10,revised data indicated consumer spending fell sharply  first half  subsequently recovered slowly previously estimated,revise data indicate consumer spending fell sharply first half subsequently recover slowly previously estimate,0
16,2010-08-10,real disposable personal income increased noticeably stronger pace spending recent months personal saving rate moved upwardly revised level reported revisions national income product accounts,real disposable personal income increase noticeably strong pace spending recent month personal save rate move upwardly revise level report revision national income product account,0
17,2010-08-10,indicators household net worth stock prices house prices little changed net intermeeting period,indicator household net worth stock price house price little change net intermeeting period,0
18,2010-08-10,consumer confidence fell back july households expressing greater concern personal finances outlook recovery,consumer confidence fell back july household express great concern personal finance outlook recovery,0
19,2010-08-10,house prices largely stable balance recent months,house price largely stable balance recent month,0
