,Date,Original,Corpus,Class
0,2011-06-22,june   ,june,0
1,2011-06-22,present ben bernanke chairman william dudley vice chairman elizabeth duke charles evans richard fisher narayana kocherlakota charles plosser sarah bloom raskin daniel tarullo janet yellen,present ben bernanke chairman william dudley vice chairman elizabeth duke charles evans richard fisher narayana kocherlakota charles plosser sarah bloom raskin daniel tarullo janet yellen,0
2,2011-06-22,jeffrey lacker dennis lockhart sandra pianalto john williams alternate members federal open market committee,jeffrey lacker dennis lockhart sandra pianalto john williams alternate member federal open market committee,0
3,2011-06-22,james bullard thomas hoenig eric rosengren presidents federal reserve banks st louis kansas city boston respectively,james bullard thomas hoenig eric rosengren president federal reserve bank st louis kansa city boston respectively,0
4,2011-06-22,william english secretary economist deborah danker deputy secretary matthew luecke assistant secretary david skidmore assistant secretary michelle smith assistant secretary scott alvarez general counsel david stockton economist,william english secretary economist deborah danker deputy secretary matthew luecke assistant secretary david skidmore assistant secretary michelle smith assistant secretary scott alvarez general counsel david stockton economist,0
5,2011-06-22,james clouse thomas connors steven kamin loretta mester david reifschneider harvey rosenblum daniel sullivan david wilcox kei mu yi associate economists,james clouse thomas connors steven kamin loretta mester david reifschneider harvey rosenblum daniel sullivan david wilcox kei mu yi associate economist,0
6,2011-06-22,brian sack manager system open market account,brian sack manager system open market account,0
7,2011-06-22,jennifer johnson secretary board office secretary board governors,jennifer johnson secretary board office secretary board governor,0
8,2011-06-22,nellie liang director office financial stability policy research board governors,nellie liang director office financial stability policy research board governor,0
9,2011-06-22,robert dev,robert dev,0
10,2011-06-22,frierson deputy secretary office secretary board governors,frierson deputy secretary office secretary board governor,0
11,2011-06-22,william nelson deputy director division monetary affairs board governors,william nelson deputy director division monetary affair board governor,0
12,2011-06-22,linda robertson assistant board office board members board governors,linda robertson assistant board office board member board governor,0
13,2011-06-22,charles struckmeyer deputy staff director office staff director board governors,charles struckmeyer deputy staff director office staff director board governor,0
14,2011-06-22,seth carpenter senior associate director division monetary affairs board governors michael foley senior associate director division banking supervision regulation board governors lawrence slifman william wascher senior associate directors division research statistics board governors,seth carpenter senior associate director division monetary affair board governor michael foley senior associate director division banking supervision regulation board governor lawrence slifman william wascher senior associate director division research statistic board governor,0
15,2011-06-22,andrew levin senior adviser office board members board governors,andrew levin senior adviser office board member board governor,0
16,2011-06-22,joyce zickler visiting senior adviser division monetary affairs board governors,joyce zickler visit senior adviser division monetary affair board governor,0
17,2011-06-22,daniel covitz eric engen associate directors division research statistics board governors trevor reeve associate director division international finance board governors,daniel covitz eric engen associate director division research statistic board governor trevor reeve associate director division international finance board governor,0
18,2011-06-22,egon zakrajsek deputy associate director division monetary affairs board governors,egon zakrajsek deputy associate director division monetary affair board governor,0
19,2011-06-22,beth anne wilson assistant director division international finance board governors,beth anne wilson assistant director division international finance board governor,0
20,2011-06-22,david small project manager division monetary affairs board governors,david small project manager division monetary affair board governor,0
21,2011-06-22,brahima coulibaly senior economist division international finance board governors louise sheiner senior economist division research statistics board governors,brahima coulibaly senior economist division international finance board governor louise sheiner senior economist division research statistic board governor,0
22,2011-06-22,jean philippe laforte economist division research statistics board governors,jean philippe laforte economist division research statistic board governor,0
23,2011-06-22,penelope beattie assistant secretary office secretary board governors,penelope beattie assistant secretary office secretary board governor,0
24,2011-06-22,randall williams records management analyst division monetary affairs board governors,randall williams record management analyst division monetary affair board governor,0
25,2011-06-22,jeff fuhrer executive vice president federal reserve bank boston,jeff fuhrer executive vice president federal reserve bank boston,0
26,2011-06-22,david altig glenn rudebusch mark schweitzer senior vice presidents federal reserve banks atlanta san francisco cleveland respectively,david altig glenn rudebusch mark schweitzer senior vice president federal reserve bank atlanta san francisco cleveland respectively,0
27,2011-06-22,michael dotsey william gavin andreas hornstein edward knotek ii vice presidents federal reserve banks philadelphia st louis richmond kansas city respectively,michael dotsey william gavin andreas hornstein edward knotek ii vice president federal reserve bank philadelphia st louis richmond kansa city respectively,0
28,2011-06-22,marco del negro joshua frost deborah leonard jonathan mccarthy assistant vice presidents federal reserve bank new york,marco del negro joshua frost deborah leonard jonathan mccarthy assistant vice president federal reserve bank new york,0
29,2011-06-22,jeff campbell senior economist federal reserve bank chicago,jeff campbell senior economist federal reserve bank chicago,0
30,2011-06-22,developments financial markets federal reserve balance sheet manager system open market account soma reported developments domestic foreign financial markets period since federal open market committee fomc met april   ,development financial market federal reserve balance sheet manager system open market account soma report development domestic foreign financial market period since federal open market committee fomc met april,0
31,2011-06-22,also reported system open market operations including continuing reinvestment longer term treasury securities principal payments received soma holdings agency debt agency guaranteed mortgage backed securities well ongoing purchases additional treasury securities authorized november    fomc meeting,also report system open market operation include continue reinvestment longer term treasury security principal payment receive soma holding agency debt agency guaranteed mortgage back security well ongoing purchase additional treasury security authorize november fomc meeting,0
32,2011-06-22,since november purchases open market desk federal reserve bank new york increased soma holdings nearly full  billion authorized,since november purchase open market desk federal reserve bank new york increase soma holding nearly full billion authorize,0
33,2011-06-22,light ongoing strains foreign financial markets committee considered proposal extend dollar liquidity swap arrangements foreign central banks past august  ,light ongoing strain foreign financial market committee consider proposal extend dollar liquidity swap arrangement foreign central bank past august,0
34,2011-06-22,following discussion members unanimously approved following resolution,follow discussion member unanimously approve follow resolution,0
35,2011-06-22,dynamic stochastic general equilibrium models staff presentation provided overview ongoing federal reserve research dynamic stochastic general equilibrium dsge models,dynamic stochastic general equilibrium model staff presentation provide overview ongoing federal reserve research dynamic stochastic general equilibrium dsge model,0
36,2011-06-22,dsge models attempt capture dynamics overall economy way consistent historical data optimizing behavior forward looking households firms,dsge model attempt capture dynamic overall economy way consistent historical data optimize behavior forward look household firm,0
37,2011-06-22,presentation began discussing general features dsge models considering advantages limitations relative approaches analyzing macroeconomic dynamics regard latter presentation noted current generation dsge models still somewhat limited range policy issues models address advances modeling increase usefulness dsge models forecasting policy analysis,presentation begin discuss general feature dsge model consider advantage limitation relative approach analyze macroeconomic dynamic regard latter presentation note current generation dsge model still somewhat limited range policy issue model address advance model increase usefulness dsge model forecasting policy analysis,0
38,2011-06-22,presentation reviewed specific features dsge models currently studied federal reserve board federal reserve banks new york philadelphia chicago,presentation review specific feature dsge model currently study federal reserve board federal reserve bank new york philadelphia chicago,0
39,2011-06-22,review included four models characterizations forces affecting economy recent years models current forecasts real economic activity inflation short term interest rates,review include four model characterization force affect economy recent year model current forecast real economic activity inflation short term interest rate,0
