,Date,Original,Corpus,Class
0,2005-11-01,elevated energy prices hurricane related disruptions economic activity temporarily depressed output employment,elevate energy price hurricane related disruption economic activity temporarily depressed output employment,0
1,2005-11-01,however monetary policy accommodation coupled robust underlying growth productivity providing ongoing support economic activity likely augmented planned rebuilding hurricane affected areas,however monetary policy accommodation couple robust underlie growth productivity provide ongoing support economic activity likely augment plan rebuild hurricane affected area,0
2,2005-11-01,cumulative rise energy costs potential add inflation pressures however core inflation relatively low recent months longer term inflation expectations remain contained,cumulative rise energy cost potential add inflation pressure however core inflation relatively low recent month longer term inflation expectation remain contain,0
3,2005-11-01,committee perceives that appropriate monetary policy action upside downside risks attainment sustainable growth price stability kept roughly equal,committee perceives that appropriate monetary policy action upside downside risk attainment sustainable growth price stability kept roughly equal,0
4,2005-11-01,underlying inflation expected contained committee believes policy accommodation removed pace likely measured,underlie inflation expect contain committee believe policy accommodation remove pace likely measure,0
5,2005-11-01,nonetheless committee respond changes economic prospects needed fulfill obligation maintain price stability,nonetheless committee respond change economic prospect need fulfill obligation maintain price stability,0
6,2005-11-01,elevated energy prices hurricane related disruptions economic activity temporarily depressed output employment,elevate energy price hurricane related disruption economic activity temporarily depressed output employment,0
7,2005-11-01,however monetary policy accommodation coupled robust underlying growth productivity providing ongoing support economic activity likely augmented planned rebuilding hurricane affected areas,however monetary policy accommodation couple robust underlie growth productivity provide ongoing support economic activity likely augment plan rebuild hurricane affected area,0
8,2005-11-01,cumulative rise energy costs potential add inflation pressures however core inflation relatively low recent months longer term inflation expectations remain contained,cumulative rise energy cost potential add inflation pressure however core inflation relatively low recent month longer term inflation expectation remain contain,0
9,2005-11-01,committee perceives that appropriate monetary policy action upside downside risks attainment sustainable growth price stability kept roughly equal,committee perceives that appropriate monetary policy action upside downside risk attainment sustainable growth price stability kept roughly equal,0
10,2005-11-01,underlying inflation expected contained committee believes policy accommodation removed pace likely measured,underlie inflation expect contain committee believe policy accommodation remove pace likely measure,0
11,2005-11-01,nonetheless committee respond changes economic prospects needed fulfill obligation maintain price stability,nonetheless committee respond change economic prospect need fulfill obligation maintain price stability,0
12,2005-11-01,elevated energy prices hurricane related disruptions economic activity temporarily depressed output employment,elevate energy price hurricane related disruption economic activity temporarily depressed output employment,0
13,2005-11-01,however monetary policy accommodation coupled robust underlying growth productivity providing ongoing support economic activity likely augmented planned rebuilding hurricane affected areas,however monetary policy accommodation couple robust underlie growth productivity provide ongoing support economic activity likely augment plan rebuild hurricane affected area,0
14,2005-11-01,cumulative rise energy costs potential add inflation pressures however core inflation relatively low recent months longer term inflation expectations remain contained,cumulative rise energy cost potential add inflation pressure however core inflation relatively low recent month longer term inflation expectation remain contain,0
15,2005-11-01,committee perceives that appropriate monetary policy action upside downside risks attainment sustainable growth price stability kept roughly equal,committee perceives that appropriate monetary policy action upside downside risk attainment sustainable growth price stability kept roughly equal,0
16,2005-11-01,underlying inflation expected contained committee believes policy accommodation removed pace likely measured,underlie inflation expect contain committee believe policy accommodation remove pace likely measure,0
17,2005-11-01,nonetheless committee respond changes economic prospects needed fulfill obligation maintain price stability,nonetheless committee respond change economic prospect need fulfill obligation maintain price stability,0
18,2005-11-01,elevated energy prices hurricane related disruptions economic activity temporarily depressed output employment,elevate energy price hurricane related disruption economic activity temporarily depressed output employment,0
19,2005-11-01,however monetary policy accommodation coupled robust underlying growth productivity providing ongoing support economic activity likely augmented planned rebuilding hurricane affected areas,however monetary policy accommodation couple robust underlie growth productivity provide ongoing support economic activity likely augment plan rebuild hurricane affected area,0
20,2005-11-01,cumulative rise energy costs potential add inflation pressures however core inflation relatively low recent months longer term inflation expectations remain contained,cumulative rise energy cost potential add inflation pressure however core inflation relatively low recent month longer term inflation expectation remain contain,0
21,2005-11-01,committee perceives that appropriate monetary policy action upside downside risks attainment sustainable growth price stability kept roughly equal,committee perceives that appropriate monetary policy action upside downside risk attainment sustainable growth price stability kept roughly equal,0
22,2005-11-01,underlying inflation expected contained committee believes policy accommodation removed pace likely measured,underlie inflation expect contain committee believe policy accommodation remove pace likely measure,0
23,2005-11-01,nonetheless committee respond changes economic prospects needed fulfill obligation maintain price stability,nonetheless committee respond change economic prospect need fulfill obligation maintain price stability,0
24,2005-11-01,committee perceives that appropriate monetary policy action upside downside risks attainment sustainable growth price stability kept roughly equal,committee perceives that appropriate monetary policy action upside downside risk attainment sustainable growth price stability kept roughly equal,0
25,2005-11-01,underlying inflation expected contained committee believes policy accommodation removed pace likely measured,underlie inflation expect contain committee believe policy accommodation remove pace likely measure,0
26,2005-11-01,nonetheless committee respond changes economic prospects needed fulfill obligation maintain price stability,nonetheless committee respond change economic prospect need fulfill obligation maintain price stability,0
