,Date,Original,Corpus,Class
0,2009-06-24,federal reserve central bank united states provides nation safe flexible stable monetary financial system,federal reserve central bank united state provide nation safe flexible stable monetary financial system,0
1,2009-06-24,federal open market committee,federal open market committee,0
2,2009-06-24,monetary policy principles practice,monetary policy principle practice,0
3,2009-06-24,policy implementation,policy implementation,0
4,2009-06-24,reports,report,0
5,2009-06-24,review monetary policy strategy tools communications,review monetary policy strategy tool communication,0
6,2009-06-24,institution supervision,institution supervision,0
7,2009-06-24,reports,report,0
8,2009-06-24,reporting forms,reporting form,0
9,2009-06-24,supervision  regulation letters,supervision regulation letter,0
10,2009-06-24,banking applications  legal developments,banking application legal development,0
11,2009-06-24,regulatory resources,regulatory resource,0
12,2009-06-24,banking  data structure,banking data structure,0
13,2009-06-24,regulations  statutes,regulation statute,0
14,2009-06-24,payment policies,payment policy,0
15,2009-06-24,reserve bank payment services  data,reserve bank payment service data,0
16,2009-06-24,financial market utilities  infrastructures,financial market utility infrastructure,0
17,2009-06-24,research committees forums,research committee forum,0
18,2009-06-24,working papers notes,work paper note,0
19,2009-06-24,models tools,model tool,0
20,2009-06-24,bank assets liabilities,bank asset liability,0
21,2009-06-24,bank structure data,bank structure data,0
22,2009-06-24,business finance,business finance,0
23,2009-06-24,dealer financing terms,dealer financing term,0
24,2009-06-24,exchange rates international data,exchange rate international data,0
25,2009-06-24,financial accounts,financial account,0
26,2009-06-24,household finance,household finance,0
27,2009-06-24,industrial activity,industrial activity,0
28,2009-06-24,interest rates,interest rate,0
29,2009-06-24,micro data reference manual mdrm,micro data reference manual mdrm,0
30,2009-06-24,money stock reserve balances,money stock reserve balance,0
31,2009-06-24,regulations,regulation,0
32,2009-06-24,supervision  enforcement,supervision enforcement,0
33,2009-06-24,community development,community development,0
34,2009-06-24,research  analysis,research analysis,0
35,2009-06-24,consumer resources,consumer resource,0
36,2009-06-24,june  ,june,0
37,2009-06-24,immediate release share,immediate release share,0
38,2009-06-24,information received since federal open market committee met april suggests pace economic contraction slowing,information receive since federal open market committee met april suggests pace economic contraction slow,0
39,2009-06-24,conditions financial markets generally improved recent months,condition financial market generally improve recent month,0
40,2009-06-24,household spending shown signs stabilizing remains constrained ongoing job losses lower housing wealth tight credit,household spending show sign stabilize remains constrain ongoing job loss low housing wealth tight credit,0
41,2009-06-24,businesses cutting back fixed investment staffing appear making progress bringing inventory stocks better alignment sales,business cut back fix investment staff appear make progress bring inventory stock well alignment sale,0
42,2009-06-24,although economic activity likely remain weak time committee continues anticipate policy actions stabilize financial markets institutions fiscal monetary stimulus market forces contribute gradual resumption sustainable economic growth context price stability,although economic activity likely remain weak time committee continue anticipate policy action stabilize financial market institution fiscal monetary stimulus market force contribute gradual resumption sustainable economic growth context price stability,0
43,2009-06-24,prices energy commodities risen late,price energy commodity risen late,0
44,2009-06-24,however substantial resource slack likely dampen cost pressures committee expects inflation remain subdued time,however substantial resource slack likely dampen cost pressure committee expect inflation remain subdue time,0
45,2009-06-24,circumstances federal reserve employ available tools promote economic recovery preserve price stability,circumstance federal reserve employ available tool promote economic recovery preserve price stability,0
46,2009-06-24,committee maintain target range federal funds rate   percent continues anticipate economic conditions likely warrant exceptionally low levels federal funds rate extended period,committee maintain target range federal fund rate percent continue anticipate economic condition likely warrant exceptionally low level federal fund rate extend period,0
47,2009-06-24,previously announced provide support mortgage lending housing markets improve overall conditions private credit markets federal reserve purchase total ,previously announce provide support mortgage lending housing market improve overall condition private credit market federal reserve purchase total,0
48,2009-06-24, trillion agency mortgage backed securities  billion agency debt end year,trillion agency mortgage back security billion agency debt end year,0
49,2009-06-24,addition federal reserve buy  billion treasury securities autumn,addition federal reserve buy billion treasury security autumn,0
50,2009-06-24,committee continue evaluate timing overall amounts purchases securities light evolving economic outlook conditions financial markets,committee continue evaluate timing overall amount purchase security light evolve economic outlook condition financial market,0
51,2009-06-24,federal reserve monitoring size composition balance sheet make adjustments credit liquidity programs warranted,federal reserve monitoring size composition balance sheet make adjustment credit liquidity program warrant,0
52,2009-06-24,board governors federal reserve system,board governor federal reserve system,0
