,Date,Original,Corpus,Class
0,12/9/03,consequence sales profits stock prices higher liquidation inventories appeared ending strengthening capital investment pickup hiring already evident data projected continue,consequence sale profit stock price high liquidation inventory appear end strengthen capital investment pickup hire already evident data project continue,-1
1,12/9/03,even though unemployment rate projected decline coming quarters slight downward pressure core consumer price inflation anticipated forecast given ongoing slack resource utilization,even though unemployment rate project decline come quarter slight downward pressure core consumer price inflation anticipate forecast give ongoing slack resource utilization,-1
2,12/9/03,assessments individual members likely pace expansion going forward differed somewhat generally expected growth run rate would trim slack labor goods markets forecast period assuming no major shocks economy,assessment individual member likely pace expansion go forward differ somewhat generally expect growth run rate would trim slack labor good market forecast period assume no major shock economy,-1
3,12/9/03,downside risks outlook diminished members remained concerned spending could slow somewhat next year effects fiscal stimulus mortgage refinancing faded,downside risk outlook diminish member remain concerned spending could slow somewhat next year effect fiscal stimulus mortgage refinance fade,-1
4,12/9/03,rapid productivity growth also could limit employment gains weigh consumer confidence,rapid productivity growth also could limit employment gain weigh consumer confidence,-1
5,12/9/03,relatively strong economic growth nonetheless seemingly assured members regarded risks inflation nearly balanced earlier year,relatively strong economic growth nonetheless seemingly assure member regard risk inflation nearly balance earlier year,1
6,12/9/03,comments recent developments around nation members reported improving economic conditions virtually regions strength household spending increasingly augmented gains business outlays,comment recent development around nation member report improve economic condition virtually region strength household spending increasingly augment gain business outlay,1
7,12/9/03,consumer spending remained firm residential construction continued high level,consumer spending remain firm residential construction continued high level,1
8,12/9/03,committee members business contacts generally expressed increasing confidence expansion would sustained anticipated increases investment outlays employment going forward,committee member business contact generally express increase confidence expansion would sustain anticipate increase investment outlay employment go forward,-1
9,12/9/03,even manufacturing lagged recovery rest economy recently output rising many subsectors employment displayed signs stabilizing,even manufacturing lag recovery rest economy recently output rise many subsectors employment displayed sign stabilize,1
10,12/9/03,members reported easing downward pressures prices selected industries anecdotal reports suggested competition including especially competition foreign producers continued constrain pricing,member report ease downward pressure price select industry anecdotal report suggest competition include especially competition foreign producer continued constrain pricing,-1
11,12/9/03,comments outlook demand key sectors economy members indicated greater confidence sizable gains business spending recent quarters would continue,comment outlook demand key sector economy member indicate great confidence sizable gain business spending recent quarter would continue,1
12,12/9/03,members noted commercial real estate sector weak high vacancy rates falling rents showing signs bottoming strengthening economy boosted demand office retail space,member note commercial real estate sector weak high vacancy rate fall rent show sign bottoming strengthen economy boost demand office retail space,1
13,12/9/03,level inventories still quite low relative sales sales expected strengthen further number members noted inventory investment could expected contribute growth aggregate demand coming quarters,level inventory still quite low relative sale sale expect strengthen far number member note inventory investment could expect contribute growth aggregate demand come quarter,-1
14,12/9/03,household spending remained solid even effects tax refunds mortgage refinancing boosted spending substantially summer waned,household spending remain solid even effect tax refund mortgage refinance boost spending substantially summer wan,1
15,12/9/03,consumption spending slowed earlier fall retail contacts suggested strengthening recently reported holiday sales appeared running somewhat last years pace,consumption spending slow earlier fall retail contact suggest strengthen recently report holiday sale appear run somewhat last year pace,-1
16,12/9/03,looking forward members anticipated consumer spending would supported gains employment well substantial tax refunds first half next year,look forward member anticipate consumer spending would support gain employment well substantial tax refund first half next year,1
17,12/9/03,expansion picking momentum risk slowdown spending clearly seemed diminished,expansion pick momentum risk slowdown spending clearly seem diminish,-1
18,12/9/03,members pointed however signs increased financial stress could limit ability many households hold spending recent levels especially incomes not rise robust pace line current forecasts,member point however sign increase financial stress could limit ability many household hold spending recent level especially income not rise robust pace line current forecast,-1
19,12/9/03,members anticipated growth federal government spending boosted recent quarters buildup defense outlays would slow going forward budget pressures would continue limit increases state local spending,member anticipate growth federal government spending boost recent quarter buildup defense outlay would slow go forward budget pressure would continue limit increase state local spending,1
20,12/9/03,longer horizon members expressed concern possible adverse effects deficits financial markets economy,longer horizon member express concern possible adverse effect deficit financial market economy,-1
21,12/9/03,remarks external sector economy members noted improvement economic outlook many foreign economies well lower dollar likely foster pickup exports,remark external sector economy member note improvement economic outlook many foreign economy well low dollar likely foster pickup export,1
