,Date,Original,Corpus,Class
1,26/1/11,research reviewed suggested structural unemployment likely risen recent years less actual unemployment increased,research review suggest structural unemployment likely risen recent year less actual unemployment increase,-1
2,26/1/11,participants stressed certain determinants unemployment rate mismatches labor market firms hiring practices difficult measure real time not directly affected monetary policy,participant stress certain determinant unemployment rate mismatch labor market firm hire practice difficult measure real time not directly affected monetary policy,1
3,26/1/11,staff review economic situation information reviewed january  meeting indicated economic recovery firming though expansion not yet sufficient bring significant improvement labor market conditions,staff review economic situation information review january meeting indicate economic recovery firm though expansion not yet sufficient bring significant improvement labor market condition,-1
4,26/1/11,consumer spending rose strongly late last year ongoing expansion business outlays equipment software appeared sustained recent months,consumer spending rise strongly late last year ongoing expansion business outlay equipment software appear sustain recent month,1
5,26/1/11,modest gains employment continued unemployment rate remained elevated,modest gain employment continued unemployment rate remain elevate,1
6,26/1/11,despite increases commodity prices measures underlying inflation remained subdued longer run inflation expectations stable,despite increase commodity price measure underlie inflation remain subdue longer run inflation expectation stable,-1
7,26/1/11,labor market situation continued improve gradually,labor market situation continued improve gradually,1
8,26/1/11,private nonfarm payroll employment increased december pace roughly average  whole average work week employees unchanged,private nonfarm payroll employment increase december pace roughly average whole average work week employee unchanged,1
9,26/1/11,services industries continued add new jobs private sector,service industry continued add new job private sector,1
10,26/1/11,initial claims unemployment insurance trended lower december early january indicators job openings firms hiring plans improved,initial claim unemployment insurance trend low december early january indicator job opening firm hire plan improve,1
11,26/1/11,unemployment rate decreased ,unemployment rate decrease,1
12,26/1/11, percent december decline part reflected drop labor force participation rate,percent december decline part reflect drop labor force participation rate,-1
13,26/1/11,long duration unemployment remained elevated employment to population ratio still low level end year,long duration unemployment remain elevate employment to population ratio still low level end year,-1
14,26/1/11,available data suggested consumer spending supported gains personal income fourth quarter ,available data suggest consumer spending support gain personal income fourth quarter,1
15,26/1/11,moreover household net worth appeared risen fourth quarter large increase equity prices offset declines house values,moreover household net worth appear risen fourth quarter large increase equity price offset decline house value,1
16,26/1/11,however business spending transportation equipment including aircraft motor vehicles likely declined fourth quarter  expanding rapidly earlier year,however business spending transportation equipment include aircraft motor vehicle likely decline fourth quarter expand rapidly earlier year,-1
17,26/1/11,measures underlying consumer price inflation remained low,measure underlie consumer price inflation remain low,-1
18,26/1/11,december core consumer price index cpi edged up goods prices unchanged prices non energy services rose slightly,december core consumer price index cpi edge up good price unchanged price non energy service rise slightly,1
19,26/1/11,measures underlying inflation trimmed mean median cpis also remained subdued,measure underlie inflation trimmed mean median cpi also remain subdue,-1
20,26/1/11,despite steep run up agricultural commodity prices second half last year increases retail food prices remained modest,despite steep run up agricultural commodity price second half last year increase retail food price remain modest,-1
21,26/1/11,however consumer energy prices moved sharply december prices types crude oil increased december january,however consumer energy price move sharply december price type crude oil increase december january,1
22,26/1/11,prices nonfuel industrial commodities also continued rise intermeeting period,price nonfuel industrial commodity also continued rise intermeeting period,1
23,26/1/11,december early january survey measures households longterm inflation expectations stayed range prevailed time,december early january survey measure household longterm inflation expectation stayed range prevail time,1
24,26/1/11,available measures labor compensation showed labor cost pressures still restrained wage increases slowed along inflation productivity gains appeared remain substantial,available measure labor compensation show labor cost pressure still restrain wage increase slow along inflation productivity gain appear remain substantial,1
25,26/1/11,month change average hourly earnings employees continued low december,month change average hourly earnings employee continued low december,-1
26,26/1/11,increase exports driven agricultural goods part reflecting higher prices well consumer goods,increase export driven agricultural good part reflect high price well consumer good,1
27,26/1/11,rise imports reflected increase value imported petroleum products mostly explained higher prices capital goods supported importantly jump computers,rise import reflect increase value import petroleum product mostly explain high price capital good support importantly jump computer,1
28,26/1/11,recent indicators foreign economic activity suggested global recovery strengthening,recent indicator foreign economic activity suggest global recovery strengthen,1
29,26/1/11,much strength centered emerging market economies emes widespread increases exports manufacturing purchasing managers indexes pmis pointed resurgence economic growth following slowdown third quarter ,much strength center emerge market economy emes widespread increase export manufacturing purchasing manager index pmis point resurgence economic growth follow slowdown third quarter,1
30,26/1/11,china singapore real gross domestic product gdp data fourth quarter confirmed rebound economic growth,china singapore real gross domestic product gdp data fourth quarter confirm rebound economic growth,1
31,26/1/11,contrast rise economic activity advanced foreign economies afes remained subdued pace,contrast rise economic activity advanced foreign economy afes remain subdue pace,1
32,26/1/11,euro area incoming economic data mixed industrial production manufacturing pmis industrial confidence firmed retail sales consumer confidence softened,euro area incoming economic data mixed industrial production manufacturing pmis industrial confidence firm retail sale consumer confidence soften,-1
