,Date,Original,Corpus,Class
0,5/3/17,committee views slowing growth first quarter likely transitory continues expect that gradual adjustments stance monetary policy economic activity expand moderate pace labor market conditions strengthen somewhat further inflation stabilize around  percent medium term,committee view slow growth first quarter likely transitory continue expect that gradual adjustment stance monetary policy economic activity expand moderate pace labor market condition strengthen somewhat far inflation stabilize around percent medium term,-1
1,5/3/17,committee expects economic conditions evolve manner warrant gradual increases federal funds rate federal funds rate likely remain time levels expected prevail longer run,committee expect economic condition evolve manner warrant gradual increase federal fund rate federal fund rate likely remain time level expect prevail longer run,1
2,16/12/20,federal reserve committed using full range tools support us economy challenging time thereby promoting maximum employment price stability goals,federal reserve commit use full range tool support u economy challenge time thereby promote maximum employment price stability goal,-1
3,16/12/20,committee seeks achieve maximum employment inflation rate  percent longer run,committee seek achieve maximum employment inflation rate percent longer run,-1
4,16/12/20,committee decided keep target range federal funds rate   percent expects appropriate maintain target range labor market conditions reached levels consistent committees assessments maximum employment inflation risen  percent track moderately exceed  percent time,committee decide keep target range federal fund rate percent expect appropriate maintain target range labor market condition reach level consistent committee assessment maximum employment inflation risen percent track moderately exceed percent time,-1
6,13/3/12,committee expects moderate economic growth coming quarters consequently anticipates unemployment rate decline gradually toward levels committee judges consistent dual mandate,committee expect moderate economic growth come quarter consequently anticipates unemployment rate decline gradually toward level committee judge consistent dual mandate,-1
7,13/3/12,recent increase oil gasoline prices push inflation temporarily committee anticipates subsequently inflation run rate judges consistent dual mandate,recent increase oil gasoline price push inflation temporarily committee anticipates subsequently inflation run rate judge consistent dual mandate,1
9,15/6/16,consistent statutory mandate committee seeks foster maximum employment price stability,consistent statutory mandate committee seek foster maximum employment price stability,-1
10,15/6/16,committee currently expects that gradual adjustments stance monetary policy economic activity expand moderate pace labor market indicators strengthen,committee currently expect that gradual adjustment stance monetary policy economic activity expand moderate pace labor market indicator strengthen,-1
12,15/6/16,committee expects economic conditions evolve manner warrant gradual increases federal funds rate federal funds rate likely remain time levels expected prevail longer run,committee expect economic condition evolve manner warrant gradual increase federal fund rate federal fund rate likely remain time level expect prevail longer run,1
13,27/4/11,inflation picked recent months longerterm inflation expectations remained stable measures underlying inflation still subdued,inflation picked recent month longerterm inflation expectation remain stable measure underlie inflation still subdue,1
14,27/4/11,increases prices energy commodities pushed inflation recent months,increase price energy commodity push inflation recent month,1
15,27/4/11,committee expects effects transitory pay close attention evolution inflation inflation expectations,committee expect effect transitory pay close attention evolution inflation inflation expectation,1
16,27/4/11,committee maintain target range federal funds rate   percent continues anticipate economic conditions including low rates resource utilization subdued inflation trends stable inflation expectations likely warrant exceptionally low levels federal funds rate extended period,committee maintain target range federal fund rate percent continue anticipate economic condition include low rate resource utilization subdue inflation trend stable inflation expectation likely warrant exceptionally low level federal fund rate extend period,-1
17,13/12/11,information received since federal open market committee met november suggests economy expanding moderately notwithstanding apparent slowing global growth,information receive since federal open market committee met november suggests economy expand moderately notwithstanding apparent slow global growth,-1
18,13/12/11,committee also anticipates inflation settle coming quarters levels consistent committees dual mandate,committee also anticipates inflation settle come quarter level consistent committee dual mandate,-1
19,13/12/11,committee also decided keep target range federal funds rate   percent currently anticipates economic conditionsincluding low rates resource utilization subdued outlook inflation medium run are likely warrant exceptionally low levels federal funds rate least mid,committee also decide keep target range federal fund rate percent currently anticipates economic conditionsincluding low rate resource utilization subdue outlook inflation medium run are likely warrant exceptionally low level federal fund rate least mid,-1
20,28/7/21,federal reserve committed using full range tools support us economy challenging time thereby promoting maximum employment price stability goals,federal reserve commit use full range tool support u economy challenge time thereby promote maximum employment price stability goal,-1
21,28/7/21,inflation risen largely reflecting transitory factors,inflation risen largely reflect transitory factor,1
22,28/7/21,committee seeks achieve maximum employment inflation rate  percent longer run,committee seek achieve maximum employment inflation rate percent longer run,-1
23,28/7/21,inflation run persistently longerrun goal committee aim achieve inflation moderately  percent time inflation averages  percent time longerterm inflation expectations remain well anchored  percent,inflation run persistently longerrun goal committee aim achieve inflation moderately percent time inflation average percent time longerterm inflation expectation remain well anchor percent,-1
25,28/7/21,last december committee indicated would continue increase holdings treasury securities least  billion per month agency mortgagebacked securities least  billion per month substantial progress made toward maximum employment price stability goals,last december committee indicate would continue increase holding treasury security least billion per month agency mortgagebacked security least billion per month substantial progress make toward maximum employment price stability goal,-1
26,27/1/16,inflation continued run committees  percent longerrun objective partly reflecting declines energy prices prices non energy imports,inflation continued run committee percent longerrun objective partly reflect decline energy price price non energy import,1
27,27/1/16,committee currently expects that gradual adjustments stance monetary policy economic activity expand moderate pace labor market indicators continue strengthen,committee currently expect that gradual adjustment stance monetary policy economic activity expand moderate pace labor market indicator continue strengthen,1
31,15/3/11,currently unemployment rate remains elevated measures underlying inflation continue somewhat low relative levels committee judges consistent longer run dual mandate,currently unemployment rate remains elevate measure underlie inflation continue somewhat low relative level committee judge consistent longer run dual mandate,-1
32,15/3/11,recent increases prices energy commodities currently putting upward pressure inflation,recent increase price energy commodity currently put upward pressure inflation,1
33,15/3/11,committee expects effects transitory pay close attention evolution inflation inflation expectations,committee expect effect transitory pay close attention evolution inflation inflation expectation,1
34,15/3/11,committee continues anticipate gradual return higher levels resource utilization context price stability,committee continue anticipate gradual return high level resource utilization context price stability,1
35,31/1/18,committee expects economic conditions evolve manner warrant gradual increases federal funds rate federal funds rate likely remain time levels expected prevail longer run,committee expect economic condition evolve manner warrant gradual increase federal fund rate federal fund rate likely remain time level expect prevail longer run,1
36,24/10/12,inflation recently picked somewhat reflecting higher energy prices,inflation recently picked somewhat reflect high energy price,1
37,24/10/12,consistent statutory mandate committee seeks foster maximum employment price stability,consistent statutory mandate committee seek foster maximum employment price stability,-1
38,24/10/12,committee remains concerned that without sufficient policy accommodation economic growth might not strong enough generate sustained improvement labor market conditions,committee remains concerned that without sufficient policy accommodation economic growth might not strong enough generate sustain improvement labor market condition,-1
39,24/10/12,outlook labor market not improve substantially committee continue purchases agency mortgage backed securities undertake additional asset purchases employ policy tools appropriate improvement achieved context price stability,outlook labor market not improve substantially committee continue purchase agency mortgage backed security undertake additional asset purchase employ policy tool appropriate improvement achieve context price stability,1
40,16/3/16,inflation picked recent months however continued run committees  percent longer run objective partly reflecting declines energy prices prices non energy imports,inflation picked recent month however continued run committee percent longer run objective partly reflect decline energy price price non energy import,1
41,16/3/16,consistent statutory mandate committee seeks foster maximum employment price stability,consistent statutory mandate committee seek foster maximum employment price stability,-1
42,16/3/16,inflation expected remain low near term part earlier declines energy prices rise  percent medium term transitory effects declines energy import prices dissipate labor market strengthens further,inflation expect remain low near term part earlier decline energy price rise percent medium term transitory effect decline energy import price dissipate labor market strengthens far,-1
43,16/3/16,committee expects economic conditions evolve manner warrant gradual increases federal funds rate federal funds rate likely remain time levels expected prevail longer run,committee expect economic condition evolve manner warrant gradual increase federal fund rate federal fund rate likely remain time level expect prevail longer run,1
44,5/1/19,light global economic financial developments muted inflation pressures committee patient determines future adjustments target range federal funds rate may appropriate support outcomes,light global economic financial development mute inflation pressure committee patient determines future adjustment target range federal fund rate may appropriate support outcome,-1
45,29/1/20,market based measures inflation compensation remain low survey based measures longer term inflation expectations little changed,market based measure inflation compensation remain low survey based measure longer term inflation expectation little change,-1
46,29/1/20,consistent statutory mandate committee seeks foster maximum employment price stability,consistent statutory mandate committee seek foster maximum employment price stability,1
47,29/1/20,committee judges current stance monetary policy appropriate support sustained expansion economic activity strong labor market conditions inflation returning committees symmetric  percent objective,committee judge current stance monetary policy appropriate support sustain expansion economic activity strong labor market condition inflation return committee symmetric percent objective,-1
48,29/1/20,committee continue monitor implications incoming information economic outlook including global developments muted inflation pressures assesses appropriate path target range federal funds rate,committee continue monitor implication incoming information economic outlook include global development mute inflation pressure ass appropriate path target range federal fund rate,-1
50,26/7/17,committee expects economic conditions evolve manner warrant gradual increases federal funds rate federal funds rate likely remain time levels expected prevail longer run,committee expect economic condition evolve manner warrant gradual increase federal fund rate federal fund rate likely remain time level expect prevail longer run,1
51,30/10/19,light implications global developments economic outlook well muted inflation pressures committee decided lower target range federal funds rate   percent,light implication global development economic outlook well mute inflation pressure committee decide low target range federal fund rate percent,-1
52,28/4/21,federal reserve committed using full range tools support us economy challenging time thereby promoting maximum employment price stability goals,federal reserve commit use full range tool support u economy challenge time thereby promote maximum employment price stability goal,-1
53,28/4/21,inflation risen largely reflecting transitory factors,inflation risen largely reflect transitory factor,1
54,28/4/21,inflation running persistently longer run goal committee aim achieve inflation moderately  percent time inflation averages  percent time longer term inflation expectations remain well anchored  percent,inflation run persistently longer run goal committee aim achieve inflation moderately percent time inflation average percent time longer term inflation expectation remain well anchor percent,-1
55,28/4/21,committee decided keep target range federal funds rate   percent expects appropriate maintain target range labor market conditions reached levels consistent committees assessments maximum employment inflation risen  percent track moderately exceed  percent time,committee decide keep target range federal fund rate percent expect appropriate maintain target range labor market condition reach level consistent committee assessment maximum employment inflation risen percent track moderately exceed percent time,-1
56,8/1/18,information received since federal open market committee met june indicates labor market continued strengthen economic activity rising strong rate,information receive since federal open market committee met june indicates labor market continued strengthen economic activity rise strong rate,1
57,17/3/21,federal reserve committed using full range tools support us economy challenging time thereby promoting maximum employment price stability goals,federal reserve commit use full range tool support u economy challenge time thereby promote maximum employment price stability goal,-1
58,17/3/21,inflation running persistently longer run goal committee aim achieve inflation moderately  percent time inflation averages  percent time longer term inflation expectations remain well anchored  percent,inflation run persistently longer run goal committee aim achieve inflation moderately percent time inflation average percent time longer term inflation expectation remain well anchor percent,-1
59,17/3/21,committee decided keep target range federal funds rate   percent expects appropriate maintain target range labor market conditions reached levels consistent committees assessments maximum employment inflation risen  percent track moderately exceed  percent time,committee decide keep target range federal fund rate percent expect appropriate maintain target range labor market condition reach level consistent committee assessment maximum employment inflation risen percent track moderately exceed percent time,1
61,15/3/20,effects coronavirus weigh economic activity near term pose risks economic outlook,effect coronavirus weigh economic activity near term pose risk economic outlook,-1
62,15/3/20,committee expects maintain target range confident economy weathered recent events track achieve maximum employment price stability goals,committee expect maintain target range confident economy weather recent event track achieve maximum employment price stability goal,-1
64,15/3/20,federal reserve prepared use full range tools support flow credit households businesses thereby promote maximum employment price stability goals,federal reserve prepared use full range tool support flow credit household business thereby promote maximum employment price stability goal,1
65,11/2/11,nonetheless recent indicators point continuing weakness overall labor market conditions unemployment rate remains elevated,nonetheless recent indicator point continue weakness overall labor market condition unemployment rate remains elevate,-1
67,11/2/11,committee also anticipates inflation settle coming quarters levels consistent committees dual mandate effects past energy commodity price increases dissipate further,committee also anticipates inflation settle come quarter level consistent committee dual mandate effect past energy commodity price increase dissipate far,-1
68,11/2/11,committee also decided keep target range federal funds rate   percent currently anticipates economic conditionsincluding low rates resource utilization subdued outlook inflation medium runare likely warrant exceptionally low levels federal funds rate least mid,committee also decide keep target range federal fund rate percent currently anticipates economic conditionsincluding low rate resource utilization subdue outlook inflation medium runare likely warrant exceptionally low level federal fund rate least mid,-1
