,Date,Original,Corpus,Class
2,25/6/03,considerable uncertainty surrounded individual policy option members agreed effectiveness alternative tools along  basis points conventional easing still available would allow monetary policy combat economic weakness forestall unexpected tendency pernicious deflation develop,considerable uncertainty surround individual policy option member agree effectiveness alternative tool along basis point conventional ease still available would allow monetary policy combat economic weakness forestall unexpected tendency pernicious deflation develop,-1
3,25/6/03,information reviewed meeting suggested economy continued expand subpar pace recent months,information review meeting suggest economy continued expand subpar pace recent month,1
4,25/6/03,consumer spending increased moderately housing activity held high level government outlays grew substantially,consumer spending increase moderately housing activity held high level government outlay grow substantially,1
5,25/6/03,consumer price inflation remained low level,consumer price inflation remain low level,-1
6,25/6/03,time fundamentals underlying household spending became favorable real disposable income posted solid gains stock market consumer confidence recovered earlier year,time fundamental underlie household spending become favorable real disposable income post solid gain stock market consumer confidence recover earlier year,1
7,25/6/03,real gdp growth major foreign industrial countries remained weak first quarter external demand sagged amid heightened geopolitical uncertainties,real gdp growth major foreign industrial country remain weak first quarter external demand sag amid heighten geopolitical uncertainty,-1
8,25/6/03,sharp declines energy prices pulled overall consumer prices april may core consumer prices edged up,sharp decline energy price pull overall consumer price april may core consumer price edge up,-1
9,25/6/03,year over year basis however core consumer price inflation eased noticeably,year over year basis however core consumer price inflation ease noticeably,-1
10,25/6/03,core producer price inflation also declined year ending may,core producer price inflation also decline year end may,-1
12,25/6/03,committee discussed postmeeting release press stating next quarters upside downside risks attainment sustainable growth roughly equal that contrast period probability unwelcome substantial fall inflation though minor exceeded pickup inflation already low level,committee discuss postmeeting release press state next quarter upside downside risk attainment sustainable growth roughly equal that contrast period probability unwelcome substantial fall inflation though minor exceed pickup inflation already low level,-1
14,25/6/03,however splitting balance risks statement separate assessments growth inflation addition noting concern possible decline inflation already low level led market participants mark expectations federal funds rate,however splitting balance risk statement separate assessment growth inflation addition note concern possible decline inflation already low level lead market participant mark expectation federal fund rate,-1
15,25/6/03,equity prices buoyed decline bond yields well improved outlook economic growth registered sizable gains intermeeting period,equity price buoyed decline bond yield well improve outlook economic growth register sizable gain intermeeting period,1
16,25/6/03,long term interest rates fell major industrial economies equity prices rose substantially,long term interest rate fell major industrial economy equity price rise substantially,1
17,25/6/03,staff forecast prepared meeting suggested economic expansion would strengthen substantially year progressed,staff forecast prepared meeting suggest economic expansion would strengthen substantially year progress,1
20,25/6/03,given ongoing slack resource utilization downward pressure core price inflation expected forecast period,give ongoing slack resource utilization downward pressure core price inflation expect forecast period,-1
21,25/6/03,committees discussion current prospective economic developments members referred signs improvement sectors economy saw no conclusive evidence appreciable overall strengthening sluggish economic expansion,committee discussion current prospective economic development member refer sign improvement sector economy saw no conclusive evidence appreciable overall strengthen sluggish economic expansion,-1
22,25/6/03,concurrently however weakness persisted business capital expenditures members continued view critical factor inhibiting economic expansion,concurrently however weakness persist business capital expenditure member continued view critical factor inhibit economic expansion,-1
23,25/6/03,looking ahead emphasized favorable underlying conditions place support substantial acceleration expansion though timing dimensions significantly improved economic performance remained uncertain,look ahead emphasize favorable underlie condition place support substantial acceleration expansion though timing dimension significantly improve economic performance remain uncertain,-1
