,Date,Original,Corpus,Class
0,2000-03-21,committees discussion current prospective economic developments members commented earlier meetings saw little evidence slowing rapid expansion domestic economic activity also saw signs date significant acceleration inflation,committee discussion current prospective economic development member comment earlier meeting saw little evidence slow rapid expansion domestic economic activity also saw sign date significant acceleration inflation,1
1,2000-03-21,nonetheless given persistence rapid growth aggregate demand beyond growth aggregate supply tight conditions labor markets members continued concerned risks rising inflation,nonetheless give persistence rapid growth aggregate demand beyond growth aggregate supply tight condition labor market member continued concerned risk rise inflation,1
2,2000-03-21,comments economic conditions across nation members referred anecdotal evidence widespread strength business activity many areas appeared rising appreciably already high levels,comment economic condition across nation member refer anecdotal evidence widespread strength business activity many area appear rise appreciably already high level,1
3,2000-03-21,moderation spending pace line growth household incomes cited reasonable expectation given underlying factors large buildup durable goods consumer hands rise consumer debt loads effects higher oil prices,moderation spending pace line growth household income cite reasonable expectation give underlie factor large buildup durable good consumer hand rise consumer debt load effect high oil price,1
4,2000-03-21,key importance prospective performance stock market whose robust gains recent years undoubtedly boosted consumer confidence spending,key importance prospective performance stock market whose robust gain recent year undoubtedly boost consumer confidence spending,1
5,2000-03-21,even so increases household incomes along lagged wealth effects sharp earlier advances stock market prices seemed likely sustain relatively strong consumer spending period time,even so increase household income along lag wealth effect sharp earlier advance stock market price seem likely sustain relatively strong consumer spending period time,1
6,2000-03-21,hand housing construction activity reportedly retarded shortages labor and areas materials well,hand housing construction activity reportedly retard shortage labor and area material well,-1
7,2000-03-21,despite welcome developments members expressed concern indications less benign inflation climate,despite welcome development member express concern indication less benign inflation climate,1
8,2000-03-21,direct indirect effects higher fuel prices rise import prices increasing medical costs deterioration surveys inflation expectations could begin show higher underlying inflation,direct indirect effect high fuel price rise import price increase medical cost deterioration survey inflation expectation could begin show high underlie inflation,1
9,2000-03-21,fundamentally however members believed current growth aggregate demand persist would continue exceed expansion potential output and putting added pressure already tight labor markets would point foster inflationary imbalances would undermine economic expansion,fundamentally however member believe current growth aggregate demand persist would continue exceed expansion potential output and put add pressure already tight labor market would point foster inflationary imbalance would undermine economic expansion,1
10,2000-03-21,persisting strength aggregate domestic demand accommodated thus far without pickup underlying inflation remarkable acceleration productivity two safety valvesthe economys ability draw pool available workers finance rapid growth imports relative exports,persist strength aggregate domestic demand accommodate thus far without pickup underlie inflation remarkable acceleration productivity two safety valvesthe economy ability draw pool available worker finance rapid growth import relative export,1
