Date,0-25 BPS,25-50 BPS,50-75 BPS,75-100 BPS,100-125 BPS,125-150 BPS,150-175 BPS,175-200 BPS
2/11/21,1,-5.55E-17,0,0,0,0,0,0
14/12/21,1,-5.55E-17,0,0,0,0,0,0
25/1/22,0.925603027,0.074396973,0,0,0,0,0,0
15/3/22,0.84499527,0.15500473,0,0,0,0,0,0
3/5/22,0.800722395,0.199277605,0,0,0,0,0,0
14/6/22,0.571402414,0.428597586,0,0,0,0,0,0
26/7/22,0,0.737690852,0.262309148,0,0,0,0,0
20/9/22,0,0.579959717,0.420040283,0,0,0,0,0
1/11/22,0,0.793089558,0.206910442,0,0,0,0,0
13/12/22,0,0,0.380049485,0.619950515,0,0,0,0
