,0-25 BPS,25-50 BPS,50-75 BPS,75-100 BPS,100-125 BPS,125-150 BPS,150-175 BPS,175-200 BPS
2021-11-02,1.0,-5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-14,1.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-25,0.9751757812499999,0.024824218750000016,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,0.9612405395508077,0.03875946044919232,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-03,0.8671455601283456,0.13285443987165435,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-14,0.6142360142299107,0.3857639857700893,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-26,0.8092627892127404,0.19073721078725958,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-20,0.0,0.280029296875,0.719970703125,0.0,0.0,0.0,0.0,0.0
2022-11-01,0.0,0.6896450700430821,0.31035492995691794,0.0,0.0,0.0,0.0,0.0
2022-12-13,0.0,0.0,0.4277155949519227,0.5722844050480773,0.0,0.0,0.0,0.0
