Date,GDPC1,PCEC96,GPDIC1,GCEC1,NETEXC,Date
2004Q1,14212.34,9667.7,2398.151,2982.735,-804.023,2004-03-31
2004Q2,14323.017,9660.9,2493.945,2990.824,-861.424,2004-06-30
2004Q3,14457.832,9845.0,2532.635,2996.334,-888.426,2004-09-30
2004Q4,14605.595,9950.6,2585.477,2994.627,-908.482,2004-12-31
2005Q1,14767.846,9989.7,2658.163,3009.569,-901.463,2005-03-31
2005Q2,14839.707,10129.2,2622.793,3007.831,-900.249,2005-06-30
2005Q3,14956.291,10116.8,2657.458,3017.773,-914.168,2005-09-30
2005Q4,15041.232,10213.7,2743.846,3020.133,-945.519,2005-12-31
2006Q1,15244.088,10309.8,2784.583,3058.483,-933.699,2006-03-31
2006Q2,15281.525,10351.1,2766.628,3057.551,-929.023,2006-06-30
2006Q3,15304.517,10439.3,2755.954,3053.11,-957.134,2006-09-30
2006Q4,15433.643,10549.0,2702.487,3078.215,-890.73,2006-12-31
2007Q1,15478.956,10579.1,2683.893,3082.482,-894.609,2007-03-31
2007Q2,15577.779,10605.3,2713.495,3110.661,-882.099,2007-06-30
2007Q3,15671.605,10691.5,2686.106,3124.883,-841.261,2007-09-30
2007Q4,15767.146,10715.5,2653.056,3149.542,-773.705,2007-12-31
2008Q1,15702.906,10703.3,2583.253,3156.928,-753.684,2008-03-31
2008Q2,15792.773,10720.8,2536.403,3184.258,-672.294,2008-06-30
2008Q3,15709.562,10597.0,2485.549,3210.02,-647.799,2008-09-30
2008Q4,15366.607,10517.6,2246.441,3231.944,-668.863,2008-12-31
2009Q1,15187.475,10478.7,1986.845,3268.818,-577.258,2009-03-31
2009Q2,15161.772,10475.5,1872.287,3316.62,-473.669,2009-06-30
2009Q3,15216.647,10507.1,1868.013,3325.682,-500.532,2009-09-30
2009Q4,15379.155,10566.4,2040.736,3331.645,-513.589,2009-12-31
2010Q1,15456.059,10637.1,2087.171,3317.347,-531.806,2010-03-31
2010Q2,15605.628,10711.3,2196.706,3327.564,-601.323,2010-06-30
2010Q3,15726.282,10776.8,2294.672,3304.078,-634.916,2010-09-30
2010Q4,15807.995,10846.0,2287.362,3283.046,-589.536,2010-12-31
2011Q1,15769.911,10892.7,2244.241,3242.78,-584.812,2011-03-31
2011Q2,15876.839,10892.5,2336.057,3220.816,-559.544,2011-06-30
2011Q3,15870.684,10922.8,2343.786,3174.801,-560.145,2011-09-30
2011Q4,16048.702,10929.0,2524.429,3172.535,-579.569,2011-12-31
2012Q1,16179.968,11023.2,2577.157,3158.939,-566.662,2012-03-31
2012Q2,16253.726,11022.6,2636.495,3142.418,-555.258,2012-06-30
2012Q3,16282.151,11063.5,2648.459,3137.664,-556.53,2012-09-30
2012Q4,16300.035,11115.5,2624.905,3106.86,-528.02,2012-12-31
2013Q1,16441.485,11155.0,2722.778,3078.855,-514.957,2013-03-31
2013Q2,16464.402,11181.4,2753.237,3073.677,-534.776,2013-06-30
2013Q3,16594.743,11239.9,2859.751,3057.212,-535.42,2013-09-30
2013Q4,16712.76,11322.9,2870.127,3033.118,-492.092,2013-12-31
2014Q1,16654.247,11405.6,2838.287,3020.58,-551.529,2014-03-31
2014Q2,16868.109,11489.7,2958.068,3024.424,-566.717,2014-06-30
2014Q3,17064.616,11593.8,3018.582,3044.694,-562.572,2014-09-30
2014Q4,17141.235,11723.2,3021.857,3043.215,-620.252,2014-12-31
2015Q1,17280.647,11798.4,3127.274,3058.973,-683.646,2015-03-31
2015Q2,17380.875,11872.0,3136.688,3085.089,-699.938,2015-06-30
2015Q3,17437.08,11963.2,3130.354,3099.082,-746.557,2015-09-30
2015Q4,17462.579,12041.4,3092.707,3110.257,-756.689,2015-12-31
2016Q1,17565.465,12086.4,3079.449,3142.841,-759.273,2016-03-31
2016Q2,17618.581,12193.1,3063.333,3137.91,-744.633,2016-06-30
2016Q3,17724.489,12249.3,3069.298,3153.894,-730.425,2016-09-30
2016Q4,17812.56,12344.1,3147.576,3160.471,-793.973,2016-12-31
2017Q1,17896.623,12413.8,3137.735,3153.834,-783.178,2017-03-31
2017Q2,17996.802,12452.8,3192.776,3163.234,-807.994,2017-06-30
2017Q3,18126.226,12547.7,3240.998,3160.72,-790.314,2017-09-30
2017Q4,18296.685,12713.2,3278.391,3182.962,-816.325,2017-12-31
2018Q1,18436.262,12739.1,3346.322,3189.744,-826.435,2018-03-31
2018Q2,18590.004,12842.2,3352.499,3212.179,-807.159,2018-06-30
2018Q3,18679.599,12905.7,3430.915,3220.013,-896.903,2018-09-30
2018Q4,18721.281,12892.0,3449.645,3213.368,-926.485,2018-12-31
2019Q1,18833.195,13028.8,3503.439,3235.153,-906.694,2019-03-31
2019Q2,18982.528,13124.2,3525.994,3274.933,-935.299,2019-06-30
2019Q3,19112.653,13215.4,3535.93,3291.711,-931.485,2019-09-30
2019Q4,19202.31,13257.2,3477.123,3316.263,-847.577,2019-12-31
2020Q1,18951.992,12422.9,3430.09,3346.322,-841.877,2020-03-31
2020Q2,17258.205,12525.6,2901.934,3378.132,-774.783,2020-06-30
2020Q3,18560.774,12962.5,3370.975,3360.238,-1021.264,2020-09-30
2020Q4,18767.778,12824.6,3561.893,3356.03,-1132.818,2020-12-31
2021Q1,19055.655,13621.3,3541.305,3390.921,-1226.098,2021-03-31
2021Q2,19368.31,13696.6,3506.014,3373.765,-1244.534,2021-06-30
2021Q3,19465.195,13772.6,3604.304,3380.162,-1311.704,2021-09-30
